Year,Value
1960,..
1961,..
1962,95.1525948346835
1963,..
1964,..
1965,15.5087476664156
1966,..
1967,..
1968,..
1969,..
1970,11.9843894162488
1971,..
1972,14.0396407088297
1973,13.6652346206034
1974,11.987549653092
1975,17.7083395387182
1976,25.6668144733184
1977,27.9023146639881
1978,32.5093034733134
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,..
2011,..
2012,..
2013,..
2014,..
2015,0.681263368468623
2016,0.927573170391869
2017,0.59710088348942
2018,0.398113187322957
2019,0.710676097418688
2020,0.842969259733662
2021,0.609393792864208
2022,0.749164680465985
2023,0.631252576879563
2024,..
2025,..
