Year,Value
1960,21.0946745619003
1961,21.8002842213298
1962,22.5342337795783
1963,23.301573237026
1964,24.1091620533195
1965,24.6412608254146
1966,25.1943463955555
1967,25.7829771832649
1968,26.4110885750022
1969,27.0795372862785
1970,27.7938621498149
1971,28.5629324995769
1972,29.3825866265058
1973,30.231542817603
1974,30.627965465957
1975,30.8139331659973
1976,31.0135375569863
1977,31.2005570009774
1978,31.3774559437814
1979,31.5609618984069
1980,31.733998485625
1981,31.8982998223317
1982,32.0625754366644
1983,32.2163436677342
1984,32.3846258853481
1985,32.6005766615064
1986,32.7936753943691
1987,32.968405644597
1988,33.1485393564207
1989,33.3265295159323
1990,33.5028479748301
1991,33.700772352187
1992,33.9115621000605
1993,34.1168044700063
1994,34.330954089698
1995,34.5671465911339
1996,34.8374210444112
1997,35.1188994715654
1998,35.4037007406165
1999,35.7102559434421
2000,36.0573901199219
2001,36.4298082396998
2002,36.8203963428848
2003,37.2267467016554
2004,37.6541959206725
2005,38.0990832034682
2006,38.4869964885408
2007,38.902582408562
2008,39.3498767151061
2009,39.8160434487699
2010,40.3016893441075
2011,40.8206375776868
2012,41.3769328378957
2013,41.9618598572911
2014,42.5813214348353
2015,43.2229868720292
2016,43.8217480714419
2017,44.2226953653521
2018,44.4557304194957
2019,44.310228112796
2020,44.2970439046244
2021,44.4037004407249
2022,44.4897675098956
2023,44.5183145050017
2024,44.5340266639247
2025,..
