Year,Value
1960,46.7855966814234
1961,46.9577830114973
1962,47.1001269742985
1963,47.220984837199
1964,47.2634957590998
1965,47.2107222780146
1966,47.1068182046029
1967,46.94056221486
1968,46.7017416479636
1969,46.3946575443592
1970,46.0190626636393
1971,45.5913246604986
1972,45.1089625397172
1973,44.5660843128541
1974,43.9865379194024
1975,43.3876022399913
1976,42.7867370001535
1977,42.1685327243404
1978,41.5243618057015
1979,40.8845740253443
1980,40.2620199833381
1981,39.6738538195272
1982,39.1276343666999
1983,38.6052887410693
1984,38.1063272706985
1985,37.6456210788329
1986,37.2315944792537
1987,36.8586812212377
1988,36.5117031117112
1989,36.1841066442063
1990,35.867601512617
1991,35.5684059692059
1992,35.2778314194118
1993,34.9986352209733
1994,34.7210616256801
1995,34.4062005890993
1996,34.0451041192867
1997,33.650741338169
1998,33.2500572539308
1999,32.8598219164115
2000,32.4817777896478
2001,32.0999741559038
2002,31.7051592225902
2003,31.2981037475509
2004,30.8615087319465
2005,30.3831671488249
2006,29.8540338054432
2007,29.2805103210222
2008,28.6812345450402
2009,28.0682947999065
2010,27.4594667000943
2011,26.8609825086003
2012,26.263594585768
2013,25.658665088736
2014,25.0633611156397
2015,24.489485993707
2016,23.9158548197047
2017,23.3055636111038
2018,22.6839423675104
2019,22.1227454885225
2020,21.6647057902778
2021,21.2984499241802
2022,20.9532806420881
2023,20.5978461579186
2024,20.2721132452225
2025,..
