Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,2.94117647058824
1970,61.038961038961
1971,72.8395061728395
1972,54.0540540540541
1973,52.027027027027
1974,44.2231075697211
1975,57.7777777777778
1976,44.6153846153846
1977,44.8717948717949
1978,46.7948717948718
1979,..
1980,..
1981,84.3354394546731
1982,83.3392717166679
1983,83.5199701381112
1984,77.3691690777118
1985,82.6707968108703
1986,86.0878014325595
1987,93.5001068726961
1988,81.2882576081683
1989,84.885444584563
1990,92.5522094996155
1991,91.0084642734973
1992,76.2580391760289
1993,76.0519352042638
1994,79.2210540134773
1995,76.1392122752155
1996,77.5864473188111
1997,61.8916713199605
1998,63.9907816400999
1999,52.0442374061233
2000,55.7784062430501
2001,66.1533287421312
2002,67.467497732719
2003,71.7326062743217
2004,65.79666843356
2005,58.1151460288067
2006,59.8313308672726
2007,72.5245033391946
2008,64.9869522011501
2009,58.0923386078161
2010,57.4112496448652
2011,60.3054035190449
2012,55.0723028764599
2013,49.0024159371983
2014,51.1327476259853
2015,49.8535457763863
2016,43.91456766813
2017,57.4057592106233
2018,45.5156752467382
2019,49.3897219472741
2020,49.4165955962204
2021,62.1934005208057
2022,62.4291207419422
2023,62.1782632869806
2024,..
2025,..
