Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,1.74846625766871
1978,0.0962695547533094
1979,0.176067818715357
1980,0.0197579649296124
1981,..
1982,0.0099975006248438
1983,0.00666583343748698
1984,0.0342516753536858
1985,0.0250681678247867
1986,0.0100584161863128
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,0.199108771399097
1999,2.77852742671172
2000,1.00418586739678
2001,1.90634627053214
2002,0.295355635609068
2003,0.642721201985453
2004,0.739062252790826
2005,1.41056078142992
2006,1.37990240107932
2007,1.21748379861972
2008,1.48466462597932
2009,1.812254262099
2010,1.27542641907161
2011,1.97436509181394
2012,0.976827622434701
2013,1.19205711515791
2014,1.34411236532224
2015,1.16094272861024
2016,0.966919876274232
2017,0.780917237041468
2018,0.673282915314312
2019,0.58266386531534
2020,1.56884703738092
2021,0.996777804666308
2022,0.597402649669344
2023,0.437999355222776
2024,0.388043370241737
2025,..
