Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,47.8723411560059
1997,..
1998,52.1276588439941
1999,..
2000,57.6719589233398
2001,..
2002,47.0899467468262
2003,58.2914581298828
2004,61.6504859924316
2005,50.4854354858398
2006,59.4202880859375
2007,56.5217399597168
2008,55.288459777832
2009,54.028434753418
2010,57.8199043273926
2011,54.502368927002
2012,59.7156410217285
2013,59.7156410217285
2014,44.2857131958008
2015,60.9523811340332
2016,63.3333320617676
2017,60
2018,62.2641525268555
2019,60.3773574829102
2020,60.8490562438965
2021,59.9056587219238
2022,61.7924537658691
2023,60.6635055541992
2024,..
2025,..
