Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,2.9
1991,3.1
1992,3.2
1993,3.3
1994,3.5
1995,5.2
1996,3.6
1997,3.7
1998,3.7
1999,3.6
2000,3.6
2001,3.5
2002,3.4
2003,3.3
2004,3.3
2005,3.3
2006,3.2
2007,3.2
2008,3.2
2009,3.1
2010,3.1
2011,3
2012,3
2013,2.9
2014,2.8
2015,2.8
2016,2.7
2017,2.6
2018,2.6
2019,2.5
2020,2.4
2021,2.4
2022,2.3
2023,2.2
2024,..
2025,..
