Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,15672949340.6086
1991,16570082512.9487
1992,18507065148.2776
1993,20290358301.0671
1994,21660102972.3154
1995,23032863329.8078
1996,23771284900.1703
1997,25505411392.3585
1998,27637559276.9321
1999,29210012861.4524
2000,31027327622.0431
2001,32833574233.4156
2002,34483122864.6513
2003,36682018260.0367
2004,39335107060.7106
2005,42181713036.3957
2006,46668360605.7997
2007,51870463922.3305
2008,55374923472.4617
2009,55229806542.8488
2010,58897493038.3217
2011,62759466862.0172
2012,67457930827.7184
2013,71836714968.6521
2014,78151240954.0173
2015,84436792703.7324
2016,93454856085.2032
2017,100716906502.777
2018,106583345257.898
2019,116687612853.612
2020,111257806527.03
2021,120695515793.017
2022,133275768822.727
2023,147594442207.058
2024,159574901535.81
2025,..
