Year,Value
1960,..
1961,1.34260993986588
1962,1.34511949115535
1963,1.34762904244482
1964,1.35515769631323
1965,1.35264814502376
1966,1.36268635018163
1967,1.36017679889216
1968,1.36017679889216
1969,1.35766724760269
1970,1.37021500405004
1971,1.38778186307632
1972,1.38276276049738
1973,1.41538692726048
1974,1.41864934393679
1975,1.41238115395855
1976,1.41706408806174
1977,1.42676411109885
1978,1.42893837530158
1979,1.43537737833509
1980,1.43988342488993
1981,1.43402862351243
1982,1.42290442561809
1983,1.41428921323669
1984,1.42098059404215
1985,1.41512579266465
1986,1.42733724270697
1987,1.44735266899074
1988,1.45426988107549
1989,1.46369607867319
1990,1.4678531306777
1991,1.48455636486516
1992,1.4937316388192
1993,1.50817656021373
1994,1.50706421570139
1995,1.51021732220761
1996,1.51437437421212
1997,1.50874540411391
1998,1.51340405248209
1999,1.52032126456684
2000,1.52979789781692
2001,1.52695392923968
2002,1.51156402940313
2003,1.54134038542524
2004,1.52845947110164
2005,1.51349614145931
2006,1.51377215746733
2007,1.50719795800346
2008,1.50973228680442
2009,1.54988006978989
2010,1.54611621513501
2011,1.55489854266308
2012,1.54486159691671
2013,1.56368087019115
2014,1.57497243415582
2015,1.59755556208515
2016,1.59504632564855
2017,1.59253708921196
2018,1.59253708921196
2019,1.59755556208515
2020,1.60759250783152
2021,1.60759250783152
2022,1.58751861633878
2023,..
2024,..
2025,..
