Year,Value
1960,..
1961,424090
1962,424090
1963,424090
1964,424090
1965,424090
1966,424090
1967,424090
1968,424090
1969,424090
1970,424090
1971,424090
1972,424090
1973,424090
1974,424090
1975,424090
1976,424090
1977,424090
1978,424090
1979,424090
1980,424000
1981,424000
1982,424000
1983,424000
1984,424000
1985,424000
1986,424000
1987,424000
1988,424000
1989,424000
1990,424000
1991,424000
1992,424000
1993,424000
1994,424000
1995,424000
1996,424000
1997,424000
1998,424000
1999,424000
2000,424000
2001,424000
2002,424000
2003,424000
2004,424000
2005,424000
2006,424000
2007,424000
2008,424000
2009,424000
2010,424000
2011,424000
2012,424000
2013,424000
2014,424000
2015,424000
2016,424000
2017,424000
2018,424000
2019,424000
2020,424000
2021,424000
2022,424000
2023,..
2024,..
2025,..
