Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,3
1994,28
1995,54
1996,82
1997,91
1998,92
1999,74
2000,57
2001,47
2002,44
2003,37
2004,33
2005,23
2006,15
2007,13
2008,19
2009,16
2010,16
2011,15
2012,17
2013,15
2014,13
2015,15
2016,..
2017,..
2018,16
2019,17
2020,20
2021,21
2022,24
2023,25
2024,25
2025,..
