Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,97.75
2005,96.9000015258789
2006,96.9300003051758
2007,97.0899963378906
2008,96.7399978637695
2009,96.7099990844727
2010,96.5199966430664
2011,96.7099990844727
2012,96.7300033569336
2013,96.6699981689453
2014,96.8000030517578
2015,96.7200012207031
2016,96.5100021362305
2017,96.351735105875
2018,96.3300018310547
2019,96.3561625677397
2020,95.6800003051758
2021,..
2022,94.7800091310913
2023,94.7810223403315
2024,..
2025,..
