Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,12.5697817928537
1971,11.6225741599145
1972,11.9665934502712
1973,11.7053817300001
1974,10.3823422089919
1975,10.804128650149
1976,11.9025051472658
1977,12.2007444748556
1978,12.1507418918517
1979,12.7894948425784
1980,12.6620257906117
1981,10.6517686366608
1982,11.1076222055918
1983,10.4234853783423
1984,10.749216637625
1985,12.269650238937
1986,12.3765997843194
1987,11.9776501923923
1988,11.2074121613033
1989,10.0932394029218
1990,10.1977479211483
1991,12.2390866806692
1992,11.097446131296
1993,11.5080903853581
1994,12.2338067450607
1995,11.5772370897316
1996,14.0630171644936
1997,12.1567472867976
1998,11.3605980446886
1999,10.7636722093412
2000,9.95498552704914
2001,10.2176557625117
2002,10.0959815146437
2003,11.0756479736666
2004,10.0173502823468
2005,9.34972521105533
2006,10.7814911595374
2007,9.86619274996805
2008,9.21687171357471
2009,8.77100611160953
2010,8.75259094652668
2011,7.80664894018065
2012,6.90183368827228
2013,7.18425441305433
2014,6.41524946952011
2015,5.99519695932934
2016,6.23364833511115
2017,5.82350675978061
2018,5.80885647631298
2019,5.19435981770845
2020,4.76672513171785
2021,5.01916341414232
2022,4.76729181944819
2023,4.5019532695068
2024,..
