Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,0.882801542976253
1971,0.869075295398072
1972,1.08794653691849
1973,1.05710163904808
1974,1.09983380804636
1975,1.11072890891135
1976,1.11055045127755
1977,1.16976139147762
1978,1.16257101676082
1979,1.19754404984892
1980,1.20295958989268
1981,1.11639302555546
1982,1.0615413657873
1983,1.20130178577471
1984,1.23497385928536
1985,1.0610375335671
1986,1.16114114786809
1987,1.30639559092233
1988,1.283815853999
1989,1.33891816897174
1990,1.12131364311778
1991,1.1496669864448
1992,1.3083362224561
1993,1.2667599964817
1994,1.45257614160415
1995,1.51596420691128
1996,1.60211251387109
1997,1.79168831029016
1998,2.020874662259
1999,2.15563007683448
2000,2.21497893219978
2001,2.19583469940138
2002,2.374394715007
2003,2.09259494333353
2004,1.91386125173149
2005,2.03684886147845
2006,2.20308284293328
2007,2.19492921592553
2008,2.16443315822516
2009,2.04647320109352
2010,2.13109236851685
2011,2.12429168575798
2012,2.17318836341436
2013,2.10753894045547
2014,2.10372169025182
2015,2.28789566173054
2016,2.35715917178999
2017,2.23015375777069
2018,2.37696846787898
2019,2.61257459696093
2020,2.44597258432274
2021,2.66716087668998
2022,2.85936787390744
2023,2.89366632939923
2024,2.99473457012728
2025,..
