Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,1.65823162593451e-12
1991,-4.95257431749534e-10
1992,-1.02773002060803e-9
1993,..
1994,..
1995,-7.55500474868032e-10
1996,-7.46013829089168e-10
1997,..
1998,-5.36577880164433e-10
1999,-1.06926815874287e-10
2000,..
2001,..
2002,..
2003,2.64480311035174e-9
2004,2.46598668111077e-9
2005,1.9080763548521e-9
2006,1.31828474884878e-9
2007,1.51176846575515e-10
2008,3.75861579286753e-9
2009,3.95085007123453e-9
2010,3.62757754041021e-9
2011,3.29772831160679e-9
2012,6.03121202751403e-9
2013,3.76899431012002e-9
2014,2.51577334923764e-9
2015,-1.60661383952425e-11
2016,3.40558515582059e-9
2017,3.43485439742272e-9
2018,3.07262080090551e-9
2019,4.05302184655102e-9
2020,1.11369004268461e-8
2021,3.67539023061757e-9
2022,3.44666393567208e-9
2023,3.1292733857678e-9
2024,2.81078495715518e-9
2025,..
