Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,18000
2004,36000
2005,135000
2006,170000
2007,287039
2008,485000
2009,818000
2010,900000
2011,980752
2012,1154750
2013,1280000
2014,1599690
2015,2269350
2016,2859570
2017,3210270
2018,3067020
2019,3582740
2020,3790460
2021,4177040
2022,4707690
2023,5543720
2024,..
2025,..
