Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,762681680.469666
1991,850918710.610668
1992,895384704.458993
1993,1012670537.20332
1994,1077921712.47726
1995,1168549075.25263
1996,1211625055.35163
1997,1232270558.10399
1998,1277944537.99171
1999,1375880591.90019
2000,1485856981.20234
2001,1526348038.02629
2002,1660587613.95596
2003,1853126192.46746
2004,1974367339.00909
2005,2191447789.56115
2006,2447719303.3905
2007,2646146245.55544
2008,2891766450.47203
2009,3097852342.79596
2010,3263063748.12096
2011,3602970900.97108
2012,4192281421.97456
2013,4493875306.76718
2014,4974517817.77426
2015,5433948566.44514
2016,5563059005.56711
2017,5924622340.22022
2018,6485649290.72362
2019,6983390182.90622
2020,6971768693.2588
2021,7829780721.00525
2022,..
2023,..
2024,..
