Year,Value
1960,3.0918373921529
1961,3.17118973753312
1962,3.32922872201146
1963,3.4733636887339
1964,3.58872213853286
1965,3.6822316968164
1966,3.69644858274678
1967,3.63683762771983
1968,3.576160594149
1969,3.51434976058356
1970,3.45228677307418
1971,3.3914250901271
1972,3.33240169703752
1973,3.27426237745441
1974,3.21557114424648
1975,3.19513005284435
1976,3.23258916569017
1977,3.2376127502714
1978,3.18921135107294
1979,3.13978069355934
1980,3.10107478716506
1981,3.07989492271562
1982,3.06903477565344
1983,3.0557685004108
1984,3.03746307787081
1985,3.01906455123075
1986,3.00529124248594
1987,2.9965790347095
1988,2.99507879014732
1989,3.00421477165697
1990,3.01882099562972
1991,3.0363491887269
1992,3.11482978618789
1993,3.24874247546063
1994,3.39115167307912
1995,3.54795770377391
1996,3.71141112149512
1997,3.87721512662723
1998,3.9978966839848
1999,4.07135457048092
2000,4.14040453187778
2001,4.2069180285199
2002,4.27315967206095
2003,4.338862442771
2004,4.40179866946676
2005,4.4595887356736
2006,4.50743839618623
2007,4.53933248729597
2008,4.55162540474402
2009,4.54867895093568
2010,4.54268848561582
2011,4.54771099997608
2012,4.57456205069476
2013,4.6330394255797
2014,4.72619444951323
2015,4.84792859794169
2016,4.98868487870584
2017,5.13918231747483
2018,5.29480448758174
2019,5.45177816555764
2020,5.56232303362275
2021,5.67226550553062
2022,5.83932347634052
2023,6.02399411326937
2024,6.22794079210588
2025,..
