Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,1.05040965573991
1967,..
1968,1.5577632604364
1969,1.56910501261612
1970,2.11825532769546
1971,3.48731383395879
1972,..
1973,1.61043122093373
1974,1.47788455627903
1975,1.6987232543566
1976,1.59918486248295
1977,1.36059338028335
1978,1.49464988276232
1979,1.955512989445
1980,2.45645616290412
1981,2.03757864192285
1982,1.54507009262455
1983,2.07375485109756
1984,2.05891905972216
1985,1.87725802850813
1986,2.97049106531976
1987,2.28221307754377
1988,..
1989,..
1990,..
1991,..
1992,1.39206760790505
1993,1.40181694576641
1994,0.582637106605659
1995,1.07291317258799
1996,1.19380397788709
1997,1.51767983100332
1998,1.31699216125426
1999,1.65059299656148
2000,1.40090469992719
2001,1.35322765765854
2002,1.15729775749413
2003,0.795911091171744
2004,0.914901543055148
2005,0.979486021419919
2006,1.11522848216482
2007,1.09529508571792
2008,1.35782465014689
2009,1.051989399987
2010,2.11530409328991
2011,2.27705292389929
2012,9.66062611317852
2013,7.80966233329149
2014,4.85002748474097
2015,4.51538770001091
2016,3.31648668286546
2017,4.20820484474438
2018,..
2019,..
2020,..
2021,..
2022,..
2023,..
2024,..
2025,..
