Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,417482884.6
1971,514955384.5
1972,533905576.7
1973,1023388711.3
1974,1164907900.89541
1975,1873082205.89357
1976,1404340314.5379
1977,1001681449.00282
1978,1135772959.89307
1979,924555968.888299
1980,1376936767.17258
1981,2273131439.4936
1982,2402953612.33293
1983,2818960513.35525
1984,2837398519.27008
1985,2948205676.24678
1986,3115986509.39046
1987,3923247338.26571
1988,6738630060.2031
1989,8352613404.98347
1990,10388726608.7454
1991,13159916722.517
1992,21337095439.0666
1993,38802115561.4859
1994,45467084634.0693
1995,50702487674.5573
1996,58558294982.4479
1997,63348869777.8361
1998,59496975482.971
1999,53026891039.0539
2000,48073062804.9582
2001,52321787567.0939
2002,63358392916.8554
2003,68411568113.6821
2004,83215370132.9919
2005,129276078938.685
2006,152747752249.904
2007,193531537703.722
2008,211610910942.513
2009,155963341319.019
2010,298436521980.781
2011,337099826364.325
2012,304476165746.708
2013,361637002662.234
2014,329530055513.562
2015,305948434262.483
2016,220117728865.986
2017,239673765902.258
2018,311000387127.277
2019,260822975228.383
2020,302942380265.47
2021,437579910266.395
2022,278645448471.368
2023,128417472213.892
2024,111853874647.86
2025,..
