Year,Value
1960,1.16453169189819
1961,1.98164193188642
1962,0.721976983746659
1963,0.517106811553229
1964,0.677479738251527
1965,0.623815724834884
1966,0.599116486585293
1967,0.772598433639918
1968,0.780533873310404
1969,0.70737298063805
1970,0.925233038289759
1971,1.02874667480376
1972,0.946411202544349
1973,0.655932010508544
1974,1.43326787520136
1975,1.33291197449929
1976,1.21183941824331
1977,1.28579642514895
1978,2.01061211919047
1979,2.14647725410023
1980,2.33395612746083
1981,4.15203552023019
1982,5.20622554325307
1983,5.12496791387767
1984,4.56463543557999
1985,3.98345377726333
1986,4.49146964345387
1987,4.48097986135287
1988,3.71653460419499
1989,3.0990671483763
1990,2.8245947022233
1991,2.8522210892136
1992,2.84967354321788
1993,3.00907246245085
1994,2.67396494484792
1995,2.69717301840046
1996,2.38649868306144
1997,2.32997028674257
1998,2.52268479233417
1999,2.44262995709252
2000,2.32805203237817
2001,2.57134432190062
2002,2.7468029806247
2003,2.73301253195713
2004,2.79426560409624
2005,2.91384483734541
2006,3.09800404266305
2007,3.53525563810059
2008,4.19947105640494
2009,4.38168358645214
2010,3.915237020069
2011,3.86753397095686
2012,4.17372087424959
2013,4.32823060746243
2014,4.56359909317262
2015,4.7375072848538
2016,4.45701624711682
2017,3.93411737432856
2018,3.7686460037451
2019,4.16938532406728
2020,4.0404717724301
2021,3.82108253260547
2022,4.12177478069924
2023,4.58791792998204
2024,..
2025,..
