Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,40.9990674196214
2001,40.6132635597745
2002,40.306297498403
2003,39.9540843007311
2004,39.5222148150231
2005,39.0659498463155
2006,38.5496995398403
2007,37.861292183132
2008,37.056037262572
2009,36.1679598564317
2010,35.1893564068047
2011,34.1356115561097
2012,33.1441508163654
2013,32.1848142816942
2014,31.2359315400649
2015,30.3419312841502
2016,29.4337702687198
2017,28.5287616138677
2018,27.6182887751862
2019,26.8305342763132
2020,26.2222842327154
2021,25.7775534317617
2022,25.6539405363366
2023,25.50626742339
2024,25.5190971882072
2025,..
