Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,37.3784366535579
2005,38.168311410048
2006,40.0417014851386
2007,48.9774219224997
2008,54.3083585030977
2009,57.429296459482
2010,59.2759845126674
2011,59.3269311955998
2012,61.9833214161171
2013,58.6508414503786
2014,62.8240561377395
2015,62.9306406791275
2016,62.3506273596468
2017,65.1696401763562
2018,63.5311021064734
2019,64.7194019683892
2020,63.235047161132
2021,62.5148416530543
2022,60.5879720749097
2023,63.2500959693766
2024,..
2025,..
