Year,Value
1960,1551873769.11016
1961,1324710785.64592
1962,1150254849.07271
1963,1382783955.51469
1964,1721000754.36134
1965,1836735796.4465
1966,1900842503.5592
1967,2017858554.24748
1968,2182415376.96557
1969,2524445209.25523
1970,2404756878.54482
1971,2305580372.99867
1972,2545241170.52068
1973,3045536812.13301
1974,4715635789.54319
1975,6393199342.48505
1976,7354170647.74027
1977,8528520161.15719
1978,9207579430.54723
1979,10982656692.5557
1980,13474445259.2792
1981,16326057181.3899
1982,16209969575.4266
1983,13566023125.0769
1984,13449440281.895
1985,13273902199.1534
1986,11988359424.1642
1987,11378207161.2302
1988,10251012234.8605
1989,10759410757.753
1990,11428565282.7704
1991,12877652826.4132
1992,13366034017.0085
1993,15533934967.4837
1994,18605633816.9085
1995,20404561280.6403
1996,20466505252.6263
1997,22991046523.2616
1998,23397216608.3041
1999,15091047523.7619
2000,12827520760.3802
2001,19061994000
2002,22647487000
2003,25670442000
2004,28727823000
2005,31916701000
2006,34871582000
2007,37669764000
2008,44308823000
2009,46606573000
2010,52691866000
2011,58668796000
2012,65210659000
2013,71268344000
2014,76021864000
2015,77410530000
2016,77365403000
2017,81658223000
2018,84243265000
2019,84932220000
2020,76536380000
2021,84008795000
2022,90147634000
2023,95967006000
2024,97451222000
2025,..
