Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,15.3000001907
1971,17.3999996185
1972,17.7999992371
1973,13.8999996185
1974,17.1000003815
1975,20.7000007629
1976,20.7000007629
1977,23.7000007629
1978,24.7000007629
1979,28
1980,29.3999996185
1981,39
1982,53.5
1983,69.6999969482
1984,88.1999969482
1985,98.5
1986,111.5
1987,112
1988,118.8000030518
1989,138.1000061035
1990,144
1991,128.1999969482
1992,109.1999969482
1993,122.8000030518
1994,185.1999969482
1995,164.1000061035
1996,198
1997,208.6000061035
1998,255.1000061035
1999,269.5
2000,278.061
2001,239.036
2002,249.206
2003,238.885
2004,241.872
2005,286.954
2006,309.434
2007,206.828
2008,195.482
2009,180.31
2010,416.985098697369
2011,333.306675121003
2012,356.265453827017
2013,386.683474639046
2014,418.691607425321
2015,377.360014527
2016,374.357162291
2017,403.828739
2018,437.625328
2019,483.4138791
2020,438.908903264
2021,589.483009
2022,512.368573
2023,492.65497
2024,..
2025,..
