Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,49.4099998474121
2007,..
2008,46.8396411498715
2009,48.8699634197976
2010,52.8340555553542
2011,53.1976883265115
2012,54.7930265558605
2013,53.7680932462636
2014,54.2448111476104
2015,57.9744676777019
2016,60.7817350606847
2017,60.256758268092
2018,63.2128269118031
2019,..
2020,66.1075869711595
2021,68.2440338134766
2022,66.6084296306774
2023,69.2219638789461
2024,..
2025,..
