Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,0.113732832245294
1971,0.0977201855399593
1972,0.0933925054008905
1973,0.116079355702742
1974,0.114590315154017
1975,0.103099396735662
1976,0.106664208331172
1977,0.0931028730679087
1978,0.0926187040396579
1979,0.098893548034607
1980,0.103738320565624
1981,0.0918600264886658
1982,0.0909361477560311
1983,0.0821700336094115
1984,0.0753546610011508
1985,0.081626205711521
1986,0.0700146413789305
1987,0.0596291612797311
1988,0.063719564910794
1989,0.072715211762348
1990,0.0696272331971505
1991,0.0387630672197948
1992,0.0361541707316287
1993,0.0420456372795111
1994,0.0429295596146103
1995,0.0480375074452779
1996,0.0501437257190783
1997,0.0469689206330398
1998,0.0434671123951435
1999,0.0417506186723447
2000,0.0501785936086468
2001,0.0445668705045966
2002,0.0444665200015799
2003,0.0422713308292647
2004,0.0334670399538466
2005,0.03379012765926
2006,0.0374053782889673
2007,0.0427967738352774
2008,0.0410651780303784
2009,0.0382435674724848
2010,0.0457724638562851
2011,0.0437964518279558
2012,0.0430341900685739
2013,0.0439365896946808
2014,0.0450939002598684
2015,0.0441736195369464
2016,0.0432836450373919
2017,0.0414406182803905
2018,0.0481338468173704
2019,0.0399724057826191
2020,0.0363094059672213
2021,0.0369852225522934
2022,..
2023,..
2024,..
2025,..
