Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,1281
1991,1191
1992,867
1993,864
1994,859
1995,902
1996,929
1997,882
1998,2624
1999,3885
2000,981
2001,790
2002,798
2003,818
2004,837
2005,827
2006,810
2007,800
2008,819
2009,835
2010,839
2011,836
2012,823
2013,809
2014,792
2015,776
2016,777
2017,792
2018,807
2019,819
2020,826
2021,829
2022,824
2023,826
2024,..
2025,..
