Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,8.89
1996,..
1997,7.275
1998,5.008
1999,5.929
2000,5.09
2001,7.943
2002,5.06
2003,5.21
2004,6.358
2005,4.128
2006,3.287
2007,2.362
2008,2.94
2009,6.23
2010,9.434
2011,8.126
2012,6.129
2013,5.796
2014,4.757
2015,3.969
2016,3.899
2017,3.248
2018,3.518
2019,2.823
2020,4.757
2021,3.445
2022,3.654
2023,3.564
2024,..
