Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,116631096993.421
1990,118653451299.989
1991,92421897014.266
1992,86642821504.4961
1993,87421482834.5625
1994,99986459914.9957
1995,105744456445.047
1996,108960668425.736
1997,128289795304.096
1998,114060926915.45
1999,139210606098.105
2000,187105306440.239
2001,153321847618.159
2002,160057461735.11
2003,171087055957.177
2004,238276849917.991
2005,302961359718.663
2006,362001627079.19
2007,425840136778.141
2008,572531841316.308
2009,382727197330.404
2010,536916028976.108
2011,537932702266.352
2012,610979479481.308
2013,532504404866.011
2014,494586181755.721
2015,337522674674.809
2016,284731219659.424
2017,357931875145.801
2018,441129792524.321
2019,420008226857.817
2020,278002489876.1
2021,412339679197.262
2022,493607079541.02
2023,446556822628.333
2024,461050974935.558
2025,..
