Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,16.1700000762939
1986,..
1987,..
1988,..
1989,..
1990,17.6299991607666
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,27.5301447373472
2007,28.1824488167357
2008,29.2820598599335
2009,29.5488797254492
2010,29.6024012943755
2011,31.6139829121153
2012,31.3253860480232
2013,30.7800006866455
2014,31.1100006103516
2015,31.2399997711182
2016,35.6720079184969
2017,32.0699996948242
2018,36.4969957932782
2019,33.189998626709
2020,38.3473640906436
2021,34.2309279427659
2022,35.1135627746366
2023,35.7377625011462
2024,..
2025,..
