Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,5.68205976486206
1999,5.90708017349243
2000,7.82541990280151
2001,8.43338966369629
2002,8.1773796081543
2003,8.16493034362793
2004,6.61626005172729
2005,6.57693004608154
2006,6.65958023071289
2007,6.82466983795166
2008,6.78520011901855
2009,6.91123008728027
2010,8.30961990356445
2011,9.36145973205566
2012,9.52046012878418
2013,14.0915002822876
2014,14.2477998733521
2015,14.5896701812744
2016,14.8494997024536
2017,14.858790397644
2018,14.7018404006958
2019,13.0792503356934
2020,16.5100193023682
2021,16.3068408966064
2022,16.1781902313232
2023,16.5662994384766
2024,..
2025,..
