Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,4322531002.71642
1971,4669870960.10417
1972,6129089726.91807
1973,7691835592.22157
1974,10299819967.2668
1975,14108609453.8779
1976,14562041791.8601
1977,16448408665.4186
1978,20332848837.2093
1979,24666049953.7465
1980,28258429059.2984
1981,27256260712.1303
1982,26969801377.383
1983,25647523883.2946
1984,24783248517.6011
1985,25963193896.9193
1986,34865134008.9024
1987,41430012004.8019
1988,44099693866.3144
1989,43223510178.9019
1990,54764729550.6567
1991,57267091035.9261
1992,61905001239.1576
1993,66459925874.45
1994,72722835538.7524
1995,86748597713.2342
1996,87445033978.7153
1997,78826615043.5269
1998,77616903015.8504
1999,76908048991.8535
2000,67770522458.9498
2001,68441796649.382
2002,74487021509.0573
2003,97002475163.3837
2004,108093597483.622
2005,109940550477.318
2006,115034474651.514
2007,132415920352.897
2008,146113838699.654
2009,141465804907.02
2010,138027356647.8
2011,145595741808.546
2012,137391699950.06
2013,141337651853.696
2014,144592294968.361
2015,122983667372.482
2016,124490738066.408
2017,130677773879.56
2018,139071469163.08
2019,133751500350.201
2020,128596556180.001
2021,146120155219.451
2022,..
2023,..
2024,..
2025,..
