Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,67.3366851806641
2004,81.0679626464844
2005,87.8640747070312
2006,90.3381652832031
2007,92.2705307006836
2008,92.3076934814453
2009,93.8388595581055
2010,90.9952621459961
2011,87.6777267456055
2012,89.5734634399414
2013,88.6255950927734
2014,81.4285736083984
2015,85.2380981445312
2016,88.0952377319336
2017,90.476188659668
2018,94.3396224975586
2019,84.9056625366211
2020,88.2075500488281
2021,93.8679275512695
2022,94.3396224975586
2023,89.5734634399414
2024,..
2025,..
