Year,Value
1960,160826
1961,164670
1962,168757
1963,173245
1964,178023
1965,182816
1966,187777
1967,193049
1968,198619
1969,204652
1970,211155
1971,217998
1972,225214
1973,232760
1974,240571
1975,248700
1976,257244
1977,266232
1978,275687
1979,285610
1980,296006
1981,306926
1982,318309
1983,330080
1984,342140
1985,354370
1986,366731
1987,379241
1988,391898
1989,404560
1990,417080
1991,429368
1992,441378
1993,453069
1994,464234
1995,474634
1996,484259
1997,493463
1998,502536
1999,511562
2000,520736
2001,530100
2002,539586
2003,549271
2004,559424
2005,570323
2006,582097
2007,594864
2008,608801
2009,624425
2010,642168
2011,661854
2012,682677
2013,703890
2014,725246
2015,746634
2016,768238
2017,790098
2018,812087
2019,833963
2020,855113
2021,875163
2022,893879
2023,910978
2024,926325
2025,..
