Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,-3972423650.56818
1991,-10287336860.6702
1992,-3912146367.14637
1993,520608878.224355
1994,6789445974.90052
1995,8044816159.0658
1996,3737909516.38066
1997,11787819253.4381
1998,14055978800.9275
1999,10669794531.6292
2000,12036616734.7556
2001,11419317691.0897
2002,10265287769.7842
2003,9417142857.14286
2004,7334309776.63859
2005,7225454545.45455
2006,15091076356.9457
2007,11026410564.2257
2008,-3650735294.11765
2009,-24348029288.0511
2010,631973196.928883
2011,8309022103.71672
2012,6593507391.18785
2013,16086656517.7288
2014,38701420763.0718
2015,15480971645.4578
2016,722353638.972453
2017,4428556620.45855
2018,5388339037.55363
2019,5671105662.9511
2020,1608975232.15871
2021,11568430112.6712
2022,-20862768646.7178
2023,-14987466608.5992
2024,16654853215.5088
2025,..
