Year,Value
1960,2911.24831527255
1961,2926.40676859611
1962,2974.11443179611
1963,3031.87494121533
1964,3025.96528052732
1965,2994.67439105798
1966,2799.00605658218
1967,2816.23911312897
1968,2758.65515178694
1969,2852.11297200595
1970,3046.89438788377
1971,3118.32650728009
1972,2956.36809728394
1973,2955.09677859662
1974,3067.32246033532
1975,2609.34954462213
1976,2445.81429569077
1977,2428.77535850635
1978,2555.80251732461
1979,2416.58917769765
1980,2358.00528461875
1981,2212.36290079103
1982,2000.21347316028
1983,1852.37577172882
1984,1961.27045021947
1985,2017.28082692999
1986,2075.9683051828
1987,2126.19665839183
1988,2192.54767695542
1989,2247.21261962816
1990,2263.5199868162
1991,2323.77595535099
1992,2354.6600015879
1993,2408.63871339489
1994,2429.01873044437
1995,2469.92406525035
1996,2523.95660661731
1997,2568.04559778031
1998,2624.14237643806
1999,2673.53484076963
2000,2703.66721398138
2001,2737.92063189748
2002,2783.51423592438
2003,2850.25195681679
2004,2931.19426578145
2005,3023.77929015417
2006,3134.7371143466
2007,3187.76801931827
2008,3392.25281573823
2009,3468.94109979526
2010,3653.00918802928
2011,4067.15236599317
2012,4338.82787065649
2013,4545.26771209127
2014,4565.82341687305
2015,4556.3116277812
2016,4604.01821837042
2017,4870.17401887488
2018,5065.90404237149
2019,5288.32921264617
2020,5210.68025087581
2021,5368.98085760901
2022,5467.26072208423
2023,5532.33331894949
2024,5738.23254630743
