Year,Value
1960,..
1961,..
1962,..
1963,0.0608642726719416
1964,..
1965,..
1966,..
1967,..
1968,..
1969,0.000618921034959755
1970,0.0247244148335968
1971,0.0137109776688799
1972,0.000371334464665669
1973,0.420086187970685
1974,0.196486205452999
1975,0.00202443902794536
1976,0.00329568227594748
1977,..
1978,..
1979,0.114750368487175
1980,0.0198336894866822
1981,0.000244393013292536
1982,..
1983,0.0325331110929603
1984,..
1985,..
1986,..
1987,0.011450777958217
1988,0.0220443228093797
1989,0.0220443228093796
1990,..
1991,0.0172069381539131
1992,0.106721896647158
1993,0.00050348796886383
1994,0.521019310085596
1995,0.33392563202173
1996,0.233071274861371
1997,0.431484644562691
1998,0.490546963622053
1999,2.29297089389916
2000,0.701274294071733
2001,0.392624125338856
2002,0.827218033482324
2003,1.03862908927199
2004,1.29836198968114
2005,1.21189953524449
2006,1.1223253284973
2007,1.40044599769846
2008,1.68212408881347
2009,1.88510825611369
2010,1.94829492947097
2011,2.40960030264859
2012,2.63120058092905
2013,1.87810513022686
2014,3.29748776087142
2015,3.26744938903334
2016,2.9171007023832
2017,3.19293570789797
2018,3.46567440139614
2019,5.49606347312402
2020,4.7366528124516
2021,4.10889220847428
2022,2.41881083940925
2023,1.76538385747298
2024,..
2025,..
