Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,31.1111502319007
2008,7.01691863825131
2009,67.9922733498531
2010,53.4856075559748
2011,40.1176028355738
2012,14.4472954310252
2013,41.3846547435228
2014,0.367243756936702
2015,17.2525851332922
2016,1.47981508988913
2017,1.88081648980918
2018,8.68205786987599
2019,4.8035831978336
2020,2.29664479018523
2021,5.72131832442678
2022,-5.74392713552537
2023,0.841538780805678
2024,6.15169273296785
2025,..
