Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,107.406713109563
1967,106.668494749125
1968,111.002915451895
1969,110.698831030818
1970,103.117485084901
1971,104.814061135371
1972,106.982601351351
1973,107.27859375
1974,104.742464917633
1975,98.9060264105642
1976,105.298035523414
1977,110.781616680367
1978,126.206780133929
1979,128.295681983909
1980,120.862285095754
1981,122.795939226202
1982,115.303773436526
1983,111.993943182894
1984,113.664254247955
1985,110.051754934865
1986,109.474167703796
1987,109.868810866222
1988,108.087559741748
1989,110.217436232454
1990,111.679946831043
1991,115.84745273517
1992,118.607532059976
1993,108.893236872348
1994,110.140016249171
1995,102.081926835872
1996,111.653290934149
1997,99.143708231974
1998,103.295085413171
1999,102.354673709746
2000,105.665983359917
2001,103.744114375127
2002,105.719143446947
2003,106.125349089711
2004,112.985699860712
2005,115.061111275127
2006,109.875359036817
2007,107.767341421816
2008,113.418401212034
2009,112.888513818885
2010,117.324013661447
2011,108.066808248263
2012,108.016655186501
2013,109.529673990589
2014,112.913225281749
2015,110.337621979865
2016,112.349691250602
2017,116.850018517101
2018,116.201947666879
2019,119.303475846075
2020,129.075404591179
2021,131.015922216983
2022,128.536513893019
2023,120.578167298323
2024,130.635649697201
