Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,253504725.723235
1967,253504725.723235
1968,277780701.967519
1969,284546114.523255
1970,302056645.839376
1971,301857659.86377
1972,302587264.271584
1973,330577582.495729
1974,350011556.292565
1975,393389990.330913
1976,422308976.529101
1977,436834614.983294
1978,464427038.901168
1979,458258597.172334
1980,486991776.014378
1981,503169126.654155
1982,499321982.876258
1983,553664331.566174
1984,573237790.274772
1985,568581582.283382
1986,591842657.034875
1987,606368444.288168
1988,633514510.041076
1989,670864763.575962
1990,694740031.231163
1991,716325876.505343
1992,740528298.603424
1993,762833761.663294
1994,764011164.754756
1995,770748583.770315
1996,787886530.287664
1997,826492963.259544
1998,855420206.246188
1999,910167091.320248
2000,960226283.311822
2001,1015919410.0795
2002,982902027.731066
2003,1050427393.31825
2004,1124482524.55398
2005,1098037738.85618
2006,1091937250.0561
2007,1125167625.04935
2008,1195557048.77095
2009,1275249585.58493
2010,1350595613.51288
2011,1240786190.47581
2012,1305822857.84822
2013,1343336129.36544
2014,1324430251.83027
2015,1378176608.93204
2016,1404959537.12175
2017,1472715273.80675
2018,1579264608.77791
2019,1677527292.27233
2020,1687449652.95674
2021,1776141480.03218
2022,1873704900.53827
2023,1963596060.75029
2024,2076438382.25331
