Year,Value
1960,36.809720410162
1961,37.0699754210412
1962,37.725259796098
1963,38.4620309359463
1964,39.7210510240472
1965,41.2359414766069
1966,42.2489666476625
1967,42.5246567980154
1968,42.3380280206653
1969,42.4750913085459
1970,42.5943406926082
1971,42.7151255640094
1972,42.8559453602108
1973,42.6002212998509
1974,42.653845831693
1975,43.3000265108
1976,44.3784697722099
1977,45.6736564027837
1978,46.9289217719524
1979,47.2496689097846
1980,47.074514108288
1981,47.2186903230835
1982,47.359284195776
1983,47.4722981460408
1984,47.5399952980939
1985,47.5575707284422
1986,47.5299285461955
1987,47.4677017515396
1988,47.384810924094
1989,47.2954603427103
1990,47.1871329483075
1991,47.1057884231537
1992,47.0704880624163
1993,47.0597455956304
1994,47.0500034442183
1995,46.9824299677443
1996,46.8553430804942
1997,46.6911488773297
1998,46.5436066840965
1999,46.4063887178685
2000,46.2271900926977
2001,46.0266071990389
2002,45.8361419595207
2003,45.6572433761948
2004,45.4729448317165
2005,45.3038104358779
2006,45.1597148662024
2007,45.0110111112443
2008,44.844463100735
2009,44.6576992571773
2010,44.4617477722146
2011,44.2703415352439
2012,44.0780859935609
2013,43.875396589555
2014,43.6522910814966
2015,43.3959912657145
2016,43.1064860850839
2017,42.7701667690763
2018,42.3875012405428
2019,41.9838964125891
2020,41.5751714277084
2021,41.1547297972231
2022,40.6950606870005
2023,40.2105009844467
2024,39.7324932675251
2025,..
