Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,1122.81767364664
1991,1070.82764283041
1992,1390.47918482013
1993,1487.81202528588
1994,1672.34547535897
1995,1892.11653062527
1996,3033.84031220306
1997,7296.10009809843
1998,8684.6573083064
1999,10492.4649475554
2000,11767.4708814313
2001,18031.964975074
2002,20242.4309684399
2003,21709.5751241959
2004,28225.985816122
2005,31302.957953874
2006,32251.7680082519
2007,35540.4477563657
2008,39994.6159790647
2009,38706.6052512135
2010,33668.8740654852
2011,34341.9342607505
2012,35711.4919273537
2013,32894.3693189101
2014,31765.8997056851
2015,27797.7942803179
2016,24435.0645564801
2017,22250.4389230263
2018,20165.4795550607
2019,18446.5916579681
2020,17089.153726379
2021,16821.4486470413
2022,16932.7706827155
2023,15688.2384192658
2024,15454.428493564
