Year,Value
1960,80.032079
1961,79.282573
1962,79.184942
1963,79.736211
1964,79.647827
1965,81.207613
1966,82.03449
1967,81.122122
1968,81.370508
1969,82.337285
1970,83.493545
1971,83.734095
1972,83.578512
1973,84.011332
1974,84.607186
1975,84.854824
1976,85.449499
1977,85.513118
1978,86.43486
1979,86.743141
1980,86.736864
1981,87.218598
1982,87.592107
1983,87.964373
1984,88.322953
1985,88.601761
1986,89.122662
1987,88.692146
1988,89.77794
1989,90.000329
1990,90.214307
1991,90.350116
1992,90.392051
1993,90.754788
1994,90.984578
1995,91.076658
1996,91.33757
1997,91.581959
1998,91.516802
1999,91.644661
2000,91.782324
2001,92.151697
2002,92.246176
2003,92.249744
2004,92.501174
2005,92.7986
2006,92.805019
2007,92.714769
2008,92.996297
2009,93.252599
2010,93.24329
2011,93.368434
2012,93.180093
2013,93.584239
2014,93.584979
2015,93.3215
2016,93.551877
2017,93.344051
2018,93.708296
2019,93.564455
2020,92.879464
2021,91.921392
2022,91.807771
2023,93.954522
2024,..
2025,..
