Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,0.187617555260658
1997,..
1998,0.302315533161163
1999,..
2000,0.331546425819397
2001,..
2002,0.295856952667236
2003,0.361106097698212
2004,0.376263976097107
2005,0.2796431183815
2006,0.355723708868027
2007,0.361441880464554
2008,0.33090552687645
2009,0.314934462308884
2010,0.311432093381882
2011,0.318778991699219
2012,0.308943897485733
2013,0.303684055805206
2014,0.372856736183167
2015,0.340777575969696
2016,0.33650615811348
2017,0.329722464084625
2018,0.368565768003464
2019,0.373677253723145
2020,0.40415832400322
2021,0.423649877309799
2022,0.415720105171204
2023,0.423974931240082
2024,..
2025,..
