Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,0.00113166977875856
1971,0.00221077531890434
1972,0.00215938414364223
1973,0.00211012755721083
1974,0.00206315311690857
1975,0.00201903954288945
1976,0.00197694877725718
1977,0.00193614590795562
1978,0.0018971012293216
1979,0.00185811438552157
1980,0.00181585422322296
1981,0.00177144780429045
1982,0.00172844414100647
1983,0.00168764977891788
1984,0.00164877743153452
1985,0.00161138280815682
1986,0.00157523727011381
1987,0.00154014384943554
1988,0.00150603543701383
1989,0.00147276489517596
1990,0.00144289733785441
1991,0.00141770572682228
1992,0.00139476822439031
1993,0.00137311711315858
1994,0.00135255768658533
1995,0.00133285350607115
1996,0.00131432814830879
1997,0.00129689070453588
1998,0.00192015975729181
1999,0.00189526751701003
2000,0.00187423859057258
2001,0.00185955407893187
2002,0.00184825801681915
2003,0.00183894518104415
2004,0.001831390025029
2005,0.00182520609618836
2006,0.00121330510376792
2007,0.00181524442266151
2008,0.00181057739313067
2009,0.00180534743911466
2010,0.00180156375734137
2011,0.00180133659175108
2012,0.001803632515887
2013,0.0018075991468132
2014,0.00120856144930689
2015,0.00121281950213759
2016,0.00182667308031882
2017,0.00183497461618448
2018,0.00184412247432059
2019,0.00247206565806388
2020,0.0024667299794028
2021,0.00244304647895926
2022,0.00242160067804819
2023,0.00240231583246249
2024,..
