Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,17499999.9963734
1975,34550000
1976,66750000
1977,81150000
1978,103400000
1979,140100000
1980,177750000
1981,171150000
1982,216800371.000035
1983,164050000
1984,191650000
1985,202999221.400034
1986,222199316.13692
1987,247890736.68
1988,253271878.17194
1989,261866491.13279
1990,257500000
1991,285900000
1992,343400000
1993,215300000
1994,238100000
1995,258200000
1996,292000000
1997,281800000
1998,263600000
1999,235700000
2000,365936100
2001,381073700
2002,386114300
2003,429785141.717451
2004,538689964.419256
2005,618672159.612276
2006,735003129.144471
2007,652427779.885898
2008,668868997.055943
2009,703325752.097308
2010,903404990.180162
2011,1032668026.49781
2012,1327640250.75225
2013,1401210246.96356
2014,1657260713.28933
2015,1483490776.69295
2016,1595222001.26116
2017,1542173691.12142
2018,2051101564.13414
2019,2158622858.44001
2020,1769870927.72831
2021,2483789394.2432
2022,2747563025.8104
2023,3093061517.14662
2024,3393563394.7844
2025,..
