Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,12.4099998474121
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,45.9
2002,..
2003,..
2004,45.1
2005,45.6
2006,47.5543466397233
2007,45.7000007629395
2008,50.343903792634
2009,50.4
2010,50.9
2011,52.8300018310547
2012,53.1300010681152
2013,54.5
2014,58.5299987792969
2015,59.3600006103516
2016,61.2900009155273
2017,58.3760100909082
2018,59.5499992370605
2019,67.8199996948242
2020,..
2021,61.7115163482507
2022,63.9925208067237
2023,62.4323081970215
2024,65.3817520141602
2025,..
