Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,796904
1991,802343
1992,809852
1993,820544
1994,830237
1995,838111
1996,843829
1997,845699
1998,846177
1999,848323
2000,846482
2001,839741
2002,834521
2003,832567
2004,831659
2005,830707
2006,829005
2007,825513
2008,821550
2009,820568
2010,818129
2011,815765
2012,810489
2013,806813
2014,806397
2015,807219
2016,807835
2017,810303
2018,810801
2019,809945
2020,807186
2021,804384
2022,802353
2023,795805
2024,..
2025,..
