Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,22.6
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,23.1
1999,22.2
2000,22.3
2001,22.5
2002,..
2003,..
2004,22.6
2005,..
2006,..
2007,..
2008,21.3
2009,23.3
2010,23.5
2011,23.6
2012,23.7
2013,23.6
2014,23.5
2015,23.4
2016,23.4
2017,23.3
2018,23.2
2019,23.3
2020,23.5
2021,23.2
2022,23.1
2023,23.1
2024,..
2025,..
