Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,7.90992406920886
1989,9.82392024645606
1990,2.9853579970279
1991,11.4670012848125
1992,11.1241323451217
1993,-4.58245931924594
1994,-0.969334683046093
1995,26.3619593998246
1996,26.7970739424717
1997,23.1071322267755
1998,25.7328150855664
1999,26.5443536089747
2000,6.91184205506351
2001,6.22213891843035
2002,6.84718400132695
2003,11.5774614504634
2004,9.85708068508192
2005,11.9027556814859
2006,11.8369347578453
2007,11.1240778083583
2008,11.0932946385292
2009,11.540710294049
2010,24.0847130747852
2011,18.4306719573617
2012,14.1753338142226
2013,13.7114912463839
2014,11.52515822953
2015,12.230042675361
2016,12.9020844146516
2017,16.0951011621566
2018,13.5222411343219
2019,16.5800712147448
2020,19.0435737191556
2021,14.8949629969484
2022,..
2023,..
2024,..
2025,..
