Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,464530289.620672
1983,-627613739.039787
1984,-200740147.771106
1985,-75639373.1768536
1986,109508281.850186
1987,159887447.185425
1988,49114112.7862489
1989,-140655401.461717
1990,-35488.7397703435
1991,-18334.2728734701
1992,-50841.9187761058
1993,787227774.16468
1994,183964307.300276
1995,1167406139.95148
1996,1241519370.3802
1997,-92933215.0134176
1998,162958569.282498
1999,-183646520.814706
2000,75880596.0200364
2001,87167316.1777698
2002,440024421.402285
2003,1836042707.70664
2004,-1335315998.96381
2005,-2359209125.16601
2006,-2151523511.37427
2007,515568197.538
2008,-265719708.198112
2009,-721155500.506287
2010,-567822933.924441
2011,-1885225734.28548
2012,1318361160.66529
2013,-495000583.052278
2014,-475015087.521479
2015,-771447150.420414
2016,-1302386717.28651
2017,-1317380618.51414
2018,-2544384076.05632
2019,-1916572876.29165
2020,-3199690249.49405
2021,-3741192475.94459
2022,-3115997606.39565
2023,-2395218738.65673
2024,-2538039593.62379
2025,..
