Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,30.272
1991,31.492
1992,31.785
1993,31.829
1994,31.539
1995,31.385
1996,31.36
1997,31.044
1998,30.652
1999,30.33
2000,29.876
2001,29.461
2002,28.974
2003,28.548
2004,28.038
2005,27.595
2006,27.19
2007,27.146
2008,27.027
2009,27.7
2010,27.5
2011,27
2012,27.9
2013,31
2014,33
2015,34.4
2016,36.1
2017,36.5
2018,37.1
2019,37.2
2020,35.3
2021,35.1
2022,34
2023,35.5
2024,35.701
