Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,418160356715.736
1982,389205791758.152
1983,320325199742.899
1984,294196972405.239
1985,298662292068.622
1986,286983543890.365
1987,302071780142.426
1988,318964273103.572
1989,324134948823.189
1990,369214600022.64
1991,400240092990.025
1992,348206080323.419
1993,361235109290.784
1994,380791535553.002
1995,465697485749.476
1996,534114784039.143
1997,561878988508.05
1998,587482946995.452
1999,413238175332.426
2000,488288060296.727
2001,484722212753.561
2002,523664041027.846
2003,585078282571.18
2004,688613784891.415
2005,804303299375.528
2006,966408307243.522
2007,1130272659709.37
2008,1350058152605.13
2009,1317259892795.17
2010,1508263148895.72
2011,1707376754349.64
2012,1811985055732.93
2013,1959893247858.51
2014,2107760526196.91
2015,2051721068529.53
2016,2033344475502.03
2017,2142269439629.46
2018,2278705604765.94
2019,2367911556251.34
2020,2321019387644.9
2021,2517065204209.19
2022,2721891866298.06
2023,2684770220210.05
2024,2728613625113.49
