Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,26.2814102172852
1982,25.718240737915
1983,26.4937400817871
1984,26.7626094818115
1985,26.6919593811035
1986,26.8397808074951
1987,26.5153293609619
1988,26.794059753418
1989,26.8313102722168
1990,26.9695205688477
1991,27.1870098114014
1992,27.2718296051025
1993,27.3994007110596
1994,27.4446601867676
1995,27.7569599151611
1996,27.9462604522705
1997,28.1511898040771
1998,28.3756904602051
1999,29.0709095001221
2000,29.9264793395996
2001,31.2106494903564
2002,32.5839614868164
2003,33.4342193603516
2004,32.8203086853027
2005,33.485538482666
2006,34.7869911193848
2007,36.0123596191406
2008,37.6349792480469
2009,38.9493293762207
2010,39.7725791931152
2011,40.9261589050293
2012,42.1089897155762
2013,42.9469718933105
2014,44.0715789794922
2015,45.2169914245605
2016,46.003490447998
2017,46.6692886352539
2018,47.649829864502
2019,47.8512001037598
2020,48.2035903930664
2021,48.3151702880859
2022,48.2960586547852
2023,49.4152717590332
2024,50.2031211853027
2025,..
