Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,19.6631866488241
1991,19.5123509354628
1992,19.477532892445
1993,18.9170128981915
1994,22.2302818564623
1995,17.6745745723659
1996,17.5272482827976
1997,17.1135280959873
1998,17.7173636752409
1999,16.8209017660583
2000,15.4320681289339
2001,14.8829415925662
2002,14.4560118355192
2003,13.942509314117
2004,13.7150288862552
2005,13.3332471576601
2006,12.6120444336032
2007,12.1838080302683
2008,12.1661396243806
2009,12.5830452359631
2010,11.5456078285111
2011,11.2487277848951
2012,11.12880202448
2013,10.8644637458063
2014,11.001874914164
2015,10.9377173089783
2016,10.7488293618916
2017,10.8069497633129
2018,10.5004256255664
2019,10.4367427931084
2020,9.9535319245858
2021,10.0556158571634
2022,10.3129903455271
2023,9.60093461181612
2024,..
2025,..
