Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,189999.999478459
2009,339999.997988343
2010,159999.996423721
2011,79999.9982118606
2012,880000.023171306
2013,829999.983310699
2014,19999.9995529652
2015,80000.0000745058
2016,59999.9986588955
2017,99999.9996274709
2018,70000.0002980232
2019,9999.99977648258
2020,80000.0000745058
2021,5819999.8140335
2022,220000.000670552
2023,..
2024,..
2025,..
