Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,..
2001,..
2002,..
2003,..
2004,..
2005,..
2006,..
2007,..
2008,..
2009,..
2010,..
2011,..
2012,5755940.78609719
2013,7534616.18442089
2014,6023830.07854223
2015,7262300.04429817
2016,7183369.95691061
2017,7205710.04459635
2018,8877494.56148595
2019,12759209.9863105
2020,11688307.2555065
2021,12332200.0205517
2022,11211176.0843545
2023,..
2024,..
2025,..
