Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,-5.90352345646923
1982,-4.91548502541509
1983,-2.64626317997982
1984,-21.5687466645049
1985,-3.28339300468191
1986,2.34389137181663
1987,6.53909490010609
1988,-0.532080466624969
1989,-3.96333615698902
1990,-5.61828580719353
1991,-1.72002319764274
1992,7.27845482866044
1993,-6.56438547951598
1994,-1.27444243143625
1995,-2.36534674620453
1996,-1.29738394866616
1997,-4.09862060855714
1998,6.75411944103054
1999,74.0679370339685
2000,17.226102581034
2001,3.01338083553891
2002,-0.328684502194165
2003,-4.28601780693416
2004,-0.593364705657009
2005,0.569313445064473
2006,0.786695143681895
2007,0.499896776191875
2008,-7.04278834320152
2009,2.52160152709081
2010,-3.71349635927044
2011,1.12768730977382
2012,2.36838089165253
2013,0.66905520381947
2014,0.72186308144476
2015,1.22223408185802
2016,1.35411444052977
2017,0.0547887099428561
2018,-0.192304261031127
2019,1.55565773405093
2020,15.6806111253491
2021,9.14726907114307
2022,0.776542609278729
2023,-1.78152711806855
2024,-0.494282757016208
2025,..
