Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,84.181
1991,84.408
1992,84.15
1993,83.715
1994,85.034
1995,85.058
1996,85.082
1997,84.79
1998,84.618
1999,85.199
2000,85.736
2001,86.296
2002,85.984
2003,85.611
2004,86.108
2005,84.95
2006,84.594
2007,84.661
2008,84.371
2009,83.847
2010,84.318
2011,85.051
2012,85.579
2013,85.044
2014,84.767
2015,84.533
2016,83.797
2017,83.472
2018,84.188
2019,84.54
2020,83.52
2021,81.637
2022,83.196
2023,83.155
2024,83.151
