Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,212200
1971,217600
1972,210100
1973,223500
1974,220300
1975,238200
1976,256700
1977,228200
1978,234800
1979,243800
1980,259300
1981,262100
1982,258700
1983,258700
1984,261800
1985,260900
1986,256100
1987,258700
1988,267700
1989,262500
1990,267300
1991,260800
1992,250800
1993,239000
1994,242600
1995,237500
1996,252200
1997,232600
1998,245400
1999,218500
2000,223833
2001,222826
2002,214168
2003,217640
2004,251709
2005,250009
2006,250482
2007,286183
2008,254859
2009,271231
2010,417651.572852863
2011,481625.686563456
2012,474297.150256162
2013,533418.215238617
2014,588687.151040793
2015,568639
2016,589534
2017,668517
2018,695784.718019853
2019,648275.3
2020,346697.9354
2021,413282.064
2022,611156
2023,677074.666
2024,..
2025,..
