Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,13.8880238001686
1976,16.8863022716248
1977,14.5944441988572
1978,14.2162364258735
1979,10.695918182962
1980,9.27104075857953
1981,10.100158204858
1982,10.9856459244786
1983,13.505419317598
1984,14.6672021030753
1985,19.1470509981572
1986,28.4831084438931
1987,27.8445018083083
1988,26.6977098412376
1989,26.5236308066954
1990,27.1649347717067
1991,26.7618728355772
1992,25.4384275810079
1993,25.1974013511108
1994,29.7222092147053
1995,30.5446476375183
1996,25.4117956076489
1997,24.5403661403625
1998,22.4906010281906
1999,15.5898678884257
2000,15.3785252750562
2001,12.7873723803292
2002,16.0936630679547
2003,20.4370578603135
2004,7.72064797144166
2005,9.68673187832864
2006,3.04097340030301
2007,4.08674197262603
2008,4.67088966817266
2009,2.42993180000253
2010,1.74480879947485
2011,1.7610880638326
2012,1.68235421098899
2013,2.26107481576509
2014,2.70826109311248
2015,3.08583603985883
2016,5.06408163934111
2017,2.78304119910956
2018,4.23273227574918
2019,2.90807415383996
2020,5.12885262296047
2021,2.43281784750629
2022,2.25267551729205
2023,2.81933821436139
2024,..
2025,..
