Year,Value
1960,2.84725852787611
1961,2.86808403456589
1962,2.91911145837312
1963,2.98185921412397
1964,3.02918067846668
1965,3.05302960877181
1966,3.05786119738729
1967,3.04246216430369
1968,3.0153903551729
1969,2.99060199538434
1970,2.97066131864697
1971,2.95492303590516
1972,2.94426570317904
1973,2.93616322402453
1974,2.92669713884695
1975,2.91520013619914
1976,2.90310515023543
1977,2.89030070602784
1978,2.87904558871863
1979,2.87053074734901
1980,2.86510352782538
1981,2.86312174095245
1982,2.86413473095361
1983,2.86796622603316
1984,2.87469407716464
1985,2.88421524118266
1986,2.89615153670663
1987,2.91052570248574
1988,2.92613458200097
1989,2.9400714950486
1990,2.95019429590923
1991,2.9594506850162
1992,2.97012008960211
1993,2.97796568870871
1994,2.97641238116557
1995,2.96469014654177
1996,2.94500430365596
1997,2.91939810387383
1998,2.89508522679202
1999,2.88211099911545
2000,2.88468144799259
2001,2.90057360277966
2002,2.92674588300778
2003,2.95663138533472
2004,3.02112114259059
2005,3.12717685010563
2006,3.2440144788008
2007,3.37115263655796
2008,3.51239155336836
2009,3.63404959982176
2010,3.7244071196776
2011,3.80647496333662
2012,3.87983159818532
2013,3.94216882486216
2014,3.99454366634757
2015,4.04293743164847
2016,4.08992314648314
2017,4.13712124737721
2018,4.18706885654273
2019,4.2398822151493
2020,4.28931548191404
2021,4.32899178129026
2022,4.37322539914508
2023,4.42868806565424
2024,4.48730624672013
2025,..
