Year,Value
1960,..
1961,..
1962,..
1963,..
1964,..
1965,..
1966,..
1967,..
1968,..
1969,..
1970,..
1971,..
1972,..
1973,..
1974,..
1975,..
1976,..
1977,..
1978,..
1979,..
1980,..
1981,..
1982,..
1983,..
1984,..
1985,..
1986,..
1987,..
1988,..
1989,..
1990,..
1991,..
1992,..
1993,..
1994,..
1995,..
1996,..
1997,..
1998,..
1999,..
2000,0.00379428
2001,0.08083401
2002,0.09465968
2003,0.05145626
2004,0.35247112
2005,0.6439123
2006,0.17122152
2007,0.14404548
2008,0.16585322
2009,0.023174
2010,0.02001631
2011,0.0190639
2012,0.02169642
2013,0.01682799
2014,0.03800629
2015,0.14813745
2016,0.06560427
2017,0.04291774
2018,0.02721395
2019,0.02578673
2020,0.08828443
2021,0.09295549
2022,1.01645742
2023,1.90923599
2024,..
2025,..
